substation;ied;osc;channel_index;channel_name;id_hint;description;triggered;first_rise_dt;n_rises;stem;status;error
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250727-170640909-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-27T17:06:42.529009-03:00;1.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250727-170640909-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250727-221548140-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-27T22:15:49.757324-03:00;1.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250727-221548140-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250728-054159250-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-28T05:42:00.868959-03:00;1.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250728-054159250-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;;;;;;;;;PAXNGX_PL1_UPD1-20250728-234514475-OSC;load_error;iterative unpacking requires a buffer of a multiple of 104 bytes
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250729-073240490-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-29T07:32:42.109173-03:00;1.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250729-073240490-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250729-234040931-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-29T23:40:42.548158-03:00;2.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250729-234040931-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250729-234040939-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-29T23:40:42.547831-03:00;2.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250729-234040939-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250730-072202163-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-30T07:22:03.780154-03:00;2.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250730-072202163-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;;;;;;;;;PAXNGX_PL1_UPD1-20250730-072202167-OSC;load_error;iterative unpacking requires a buffer of a multiple of 104 bytes
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250803-091040280-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-08-03T09:10:41.898217-03:00;1.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250803-091040280-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250803-155230246-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-08-03T15:52:31.865556-03:00;2.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;PAXNGX_PL1_UPD1-20250803-155230246-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL1_UPD1;;;;;;;;;PAXNGX_PL1_UPD1-20250803-155230529-OSC;load_error;iterative unpacking requires a buffer of a multiple of 104 bytes
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250728-011548140-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-28T01:15:49.757337-03:00;2.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250728-011548140-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250728-011548148-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-28T01:15:49.757009-03:00;2.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250728-011548148-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250728-084159250-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-28T08:42:00.868970-03:00;1.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250728-084159250-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250729-024514458-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-29T02:45:16.075751-03:00;2.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250729-024514458-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250729-024514466-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-29T02:45:16.075421-03:00;2.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250729-024514466-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250729-103240501-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-29T10:32:42.120188-03:00;1.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250729-103240501-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250730-024040931-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-30T02:40:42.548172-03:00;2.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250730-024040931-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250730-024040939-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-30T02:40:42.547845-03:00;2.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250730-024040939-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250730-102202144-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-30T10:22:03.761159-03:00;1.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250730-102202144-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250803-121040288-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-08-03T12:10:41.906228-03:00;2.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250803-121040288-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250803-121040296-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-08-03T12:10:41.905895-03:00;2.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250803-121040296-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250803-185230258-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250803-185230258-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250804-021303030-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-08-04T02:13:04.649146-03:00;2.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250804-021303030-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250804-021303039-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-08-04T02:13:04.649809-03:00;2.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250804-021303039-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250804-041438319-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-08-04T04:14:39.937774-03:00;1.0;;;
SE_PAXNGX;PAXNGX_PL2_UPD3;PAXNGX_PL2_UPD3-20250804-041438319-OSC;2.0;3|FLH COMUT PCP      On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
